X,Y,Nr_Id,Specia,Diametru,Inaltime,Stare_Viab,Grad_Intre,Risc,Protejat,Data,Tip,Sp_Verde,Localitate,Strada,icon_url
24.2663863103089,45.6672841479064,"930",Tuia,"9","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"955",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2663889561773,45.6672765150936,"931",Tuia,"8","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"955",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2663941476933,45.6672688986761,"932",Tuia,"7","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"955",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2663996895095,45.667262304495,"933",Tuia,"5","2,8","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"955",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664048643198,45.667255962945,"934",Tuia,"8","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"955",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664089514778,45.6672493593948,"935",Tuia,"7","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"955",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664196282364,45.6672255861128,"936",Tuia,"7","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664212014788,45.667216543918,"937",Tuia,"8","3,3","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664282096329,45.6672090666962,"938",Tuia,"9","3,4","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664332443587,45.6671995368037,"939",Tuia,"7","3,4","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664371647092,45.6671917847001,"940",Tuia,"7","3,4","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664418157261,45.6671837823068,"941",Tuia,"6","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664455726146,45.667174626677,"942",Tuia,"6","3,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.266451353033,45.6671636991129,"943",Tuia,"4","1,8","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.266457482081,45.6671539212716,"944",Tuia,"7","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664624900744,45.6671464311666,"945",Tuia,"6","3,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2664660667956,45.6671371468783,"946",Tuia,"8","3,4","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.266582573914,45.6671553642786,"957",Tuia,"3","1,6","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665753240258,45.6671535326314,"948",Tuia,"3","1,6","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
